date,BYR,USD,EUR,KZT,UAH
11-2009,0.0106283,28.8345,42.8971,0.192429,3.53798
12-2009,0.010572900000000001,30.0481,44.0806,0.201923,3.7607100000000004
01-2010,0.0103553,29.4299,42.7764,0.19873000000000002,3.61813
02-2010,0.0104034,30.1595,41.1737,0.203918,3.75118
03-2010,0.0099592,29.3897,40.261,0.19981400000000002,3.6836100000000003
04-2010,0.0097432,29.0444,39.6253,0.198066,3.6474200000000003
05-2010,0.010062799999999998,30.0575,37.7282,0.20521999999999999,3.79442
06-2010,0.0104164,31.4471,38.0982,0.21385300000000002,3.94816
07-2010,0.010128999999999999,30.539,38.809,0.206722,3.8647199999999997
08-2010,0.0101705,30.4199,39.2173,0.20643999999999998,3.85599
09-2010,0.010147,30.7049,39.5264,0.208586,3.8788400000000003
10-2010,0.009990500000000001,29.9315,42.1585,0.20276,3.76781
11-2010,0.0101753,30.8414,42.2311,0.208924,3.87869
12-2010,0.010204000000000001,30.7447,41.2932,0.20860099999999998,3.8592500000000003
01-2011,0.0099482,29.954,40.1264,0.203734,3.76543
02-2011,0.0097042,29.2583,39.604,0.19982399999999997,3.67774
03-2011,0.0094632,28.664,39.9347,0.196342,3.61062
04-2011,0.00924216,28.1886,40.8791,0.193996,3.5388399999999995
05-2011,0.009027460000000001,27.8497,39.7137,0.191079,3.48339
06-2011,0.00559872,27.8984,40.2825,0.191367,3.4938499999999997
07-2011,0.005609960000000001,28.061,39.8214,0.191949,3.51158
08-2011,0.0058644100000000005,29.4452,41.7768,0.200171,3.6827199999999998
09-2011,0.00567769,30.3643,41.3531,0.206146,3.79649
10-2011,0.00540752,30.9905,42.7328,0.209764,3.87284
11-2011,0.00342284,30.2921,41.6638,0.204435,3.78401
12-2011,0.00375479,31.7655,41.4127,0.21463200000000002,3.96672
01-2012,0.00373322,31.583,40.6189,0.213111,3.92823
02-2012,0.00363367,30.0868,39.5431,0.20279599999999998,3.7460999999999998
03-2012,0.0035990900000000005,29.5125,38.4843,0.199739,3.6810099999999997
04-2012,0.00365646,29.4711,38.8134,0.199621,3.6731000000000003
05-2012,0.00370443,30.2652,39.0088,0.20450800000000002,3.76761
06-2012,0.00395827,32.5766,40.939,0.218628,4.02528
07-2012,0.00389726,32.659,39.8277,0.218003,4.03556
08-2012,0.0038143900000000004,31.7739,39.2916,0.21268399999999998,3.92174
09-2012,0.0036601100000000003,30.8181,40.1868,0.205605,3.7997799999999997
10-2012,0.00362267,30.9738,40.0832,0.20573799999999998,3.80677
11-2012,0.0037020699999999996,31.7267,40.35,0.21079499999999998,3.8561799999999997
12-2012,0.00357267,30.6892,40.2182,0.20382,3.7859900000000004
01-2013,0.00348024,30.2607,40.5009,0.200395,3.72554
02-2013,0.0034791600000000002,30.0773,40.3698,0.199849,3.7070700000000003
03-2013,0.00356214,30.7769,39.8715,0.204057,3.7937600000000002
04-2013,0.0035861800000000004,30.9308,40.5132,0.204975,3.8017200000000004
05-2013,0.0035992899999999998,31.2778,40.6768,0.206932,3.84603
06-2013,0.0036366999999999997,31.8029,42.4442,0.210198,3.90181
07-2013,0.00368638,32.6429,42.6643,0.21405200000000002,4.00772
08-2013,0.0037173,33.1583,43.9845,0.21690500000000001,4.08731
09-2013,0.00362375,32.7406,43.4664,0.213558,4.01479
10-2013,0.0035186799999999997,32.2663,43.766,0.21020399999999997,3.94189
11-2013,0.0035072299999999996,32.6874,44.0201,0.213448,3.98919
12-2013,0.0034760800000000003,32.8663,45.1944,0.213369,3.96816
01-2014,0.00346958,33.2386,45.4139,0.214789,3.99863
02-2014,0.0036271500000000004,35.2559,48.2618,0.191079,4.01091
03-2014,0.00373487,36.6391,50.7635,0.20126999999999998,3.8567500000000003
04-2014,0.00361335,35.989,49.8232,0.19767700000000002,2.76838
05-2014,0.0034587899999999998,34.709,47.6173,0.190635,2.91672
06-2014,0.00338488,34.3227,46.4764,0.187045,2.93985
07-2014,0.0033509300000000002,34.3135,46.6835,0.18698399999999998,2.92154
08-2014,0.00346867,36.0395,48.1416,0.198008,2.73545
09-2014,0.00358273,37.6545,48.6647,0.206955,2.90168
10-2014,0.0037878900000000004,40.5304,51.5141,0.222903,3.14189
11-2014,0.00438004,47.392,58.9793,0.262001,3.05184
12-2014,0.005104699999999999,56.8919,70.5289,0.312997,3.6185699999999996
01-2015,0.0045444000000000005,66.0983,77.9629,0.359709,4.23124
02-2015,0.004212700000000001,65.0862,74.3675,0.35139899999999996,2.43769
03-2015,0.00406071,61.3167,64.965,0.330816,2.83061
04-2015,0.00359688,51.9749,54.8387,0.279623,2.30487
05-2015,0.00352658,50.0774,57.1383,0.269298,2.4368600000000002
06-2015,0.0035523499999999997,54.5285,61.4754,0.29311699999999996,2.59166
07-2015,0.0037313299999999997,56.9774,62.6239,0.305002,2.58988
08-2015,0.00406614,64.9363,72.365,0.34533200000000003,2.9787299999999997
09-2015,0.0038210299999999996,67.9571,77.1313,0.246221,3.10306
10-2015,0.00364252,63.1248,72.0506,0.22840699999999997,2.9360399999999998
11-2015,0.0037311300000000005,66.6343,71.8184,0.216093,2.89274
12-2015,0.00383216,70.2244,76.9659,0.211921,2.95682
01-2016,0.00391222,76.523,83.1499,0.210315,3.1984500000000002
02-2016,0.00360522,79.4951,89.8454,0.215697,3.0487100000000003
03-2016,0.00340224,70.1542,78.1798,0.20428100000000002,2.75115
04-2016,0.00332976,66.4954,74.794,0.198627,2.5949400000000002
05-2016,0.0033730200000000004,64.9306,73.6248,0.197375,2.5488
06-2016,0.00329947,66.0306,74.3174,0.194956,2.6497
07-2016,31.8955,63.5773,70.5644,0.187599,2.5636
08-2016,32.9423,64.3364,71.7158,0.186764,2.56832
09-2016,33.2176,64.9737,72.946,0.191841,2.47001
10-2016,32.7664,62.9934,69.3746,0.190356,2.44303
11-2016,33.6875,65.8591,71.0488,0.191473,2.57061
12-2016,31.1117,60.8079,64.7543,0.18302700000000002,2.31517
01-2017,30.4618,59.37,63.1222,0.17871800000000002,2.13946
02-2017,30.7285,57.7388,61.2955,0.179077,2.12002
03-2017,30.8095,58.954,62.7447,0.185224,2.1916
04-2017,29.9391,56.2945,59.7791,0.181128,2.06283
05-2017,30.5445,57.164,62.0915,0.181028,2.15835
06-2017,30.3951,57.0303,63.9481,0.18014500000000003,2.19284
07-2017,30.4503,59.8806,68.3597,0.182543,2.30045
08-2017,30.7213,59.799,70.6645,0.179784,2.33385
09-2017,29.7097,57.7706,68.695,0.17073,2.20772
10-2017,29.3528,57.6196,68.1409,0.172398,2.1722799999999998
11-2017,29.791,59.6207,69.6787,0.17921299999999998,2.2485600000000003
12-2017,28.9845,58.7082,69.4048,0.17526399999999998,2.14342
01-2018,28.2614,56.6019,68.2562,0.171737,1.9825500000000003
02-2018,28.9498,57.5899,71.2329,0.17851,2.16219
03-2018,29.0793,56.9372,70.5338,0.176843,2.19231
04-2018,30.1724,61.4311,75.7507,0.18794899999999998,2.35075
05-2018,30.8842,61.7684,73.943,0.188333,2.36028
06-2018,31.11,62.2511,73.5621,0.185354,2.3732800000000003
07-2018,31.629,62.2934,72.4659,0.181141,2.3748899999999997
08-2018,32.5389,66.7535,76.2325,0.18423899999999999,2.43005
09-2018,31.9526,68.2826,79.9521,0.18263200000000002,2.42739
10-2018,30.9888,65.9751,76.5047,0.177984,2.36301
11-2018,31.6931,67.9975,76.7556,0.180926,2.44221
12-2018,31.3293,66.4337,75.389,0.17888300000000001,2.38713
01-2019,31.223,67.192,77.0692,0.177391,2.3959599999999996
02-2019,30.6663,66.5429,75.0471,0.17632899999999999,2.4555
03-2019,30.6663,65.4021,74.0613,0.17332899999999998,2.45596
04-2019,30.5971,64.5171,72.8398,0.16990300000000003,2.41431
05-2019,31.116,65.3001,73.3712,0.17189900000000002,2.4944800000000003
06-2019,31.2416,64.4326,72.6993,0.167741,2.43463
07-2019,31.0216,63.0204,71.0114,0.164278,2.44787
08-2019,31.9295,65.2032,72.9037,0.168726,2.57525
